Publication Date,Fiscal Year,Fundind Source Name,FPS Group,FPS Group Name,Agency Number,Agency Name,Revenue Category,Revenue Category Name,Revenue Class Code,Revenue Class Name,Budget Code,Revenue Source,Revenue Source Name,Revenue Structure Description,Adopted Budget Amount,Current Modified Budget Amount,Yr1_FY,Year 1 Revenue Amount,Year 2 Revenue Amount,Year 3 Revenue Amount,Year 4 Revenue Amount
2016 11 17,2017,State Grants,40,Other - State Grants,098,Miscellaneous,26,State Grants-Categorical,411,EDUCATION,2013,29605,SCA BASED BUILDING AID,TFA BUILDING AID,598541468,598541468,2017,598541468,693209420,738053339,786583019
2016 11 17,2017,State Grants,40,Other - State Grants,098,Miscellaneous,26,State Grants-Categorical,427,STATE,5001,30553,INDIGENT LEGAL SERVICES FUND,18-B ATTORNEYS PAYMENTS,40406625,40406625,2017,40406625,40408566,40023566,40023566
2016 11 17,2017,State Grants,40,Other - State Grants,098,Miscellaneous,26,State Grants-Categorical,427,STATE,5002,30553,INDIGENT LEGAL SERVICES FUND,INDIGENT LEGAL SERVICES - IMMIGRATION,884982,884982,2017,884982,758000,150000,0
2016 11 17,2017,State Grants,40,Other - State Grants,103,City Clerk,26,State Grants-Categorical,400,OTHER,0201,30906,LOCAL GOVERNMENT RECORDS MGMT,SARA GRANT - LGRMIF,0,74775,2017,74775,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,408,CRIME VICTIMS COMPENSATION,0501,19992,CRIME VICTIMS PROGRAM,CRIME VICTIMS PROGRAM,347208,369622,2017,369622,347208,347208,347208
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,401,AGING,0501,25922,FOSTER GRANDPARENTS PGM STATE,FOSTER GRANDPARENTS,18443,18443,2017,18443,18443,18443,18443
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,401,AGING,0100,25923,Direct Care Workers Program,DIRECT CARE WORKERS PROGRAM,2843892,2843892,2017,2843892,2843892,2843892,2843892
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,401,AGING,0100,25925,COMMUNITY SERVICES FOR AGING,COMMUNITY SVCS FOR THE ELDERLY,6919608,6919608,2017,6919608,6919608,6919608,6919608
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,401,AGING,0100,25926,SUPPLE.NUTRITION ASSIST. PROG.,SUPPLEMENTAL NUTRITION ASSIST,10509762,10509762,2017,10509762,10509762,10509762,10509762
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,401,AGING,0100,25927,EXPANDED IN-HOMES SERVICES,EXPANDED IN HOME SERVICE,18546806,18546806,2017,18546806,18546806,18546806,18546806
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,401,AGING,0100,25930,Fully-Integrated Dual Advantage Program (FIDA),FULLY-INTEGRATED DUAL ADVANTAGE PROGRAM (FIDA),161750,161750,2017,161750,84250,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,401,AGING,0100,25933,CONGREGATE SERVICES INITIATIVE,CONGREGATE SERVICES INITIATIVE,284520,152288,2017,152288,152288,152288,152288
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,401,AGING,0100,25935,LONG TERM CARE OMBUDSMAN,LONG TERM CARE OMBUDSMAN,204838,0,2017,0,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,125,Department for the Aging,26,State Grants-Categorical,411,EDUCATION,0100,27921,TRANSPORTATION AID,AAA TRANSPORTATION PGM,331028,331028,2017,331028,331028,331028,331028
2016 11 17,2017,State Grants,40,Other - State Grants,126,Department of Cultural Affairs,26,State Grants-Categorical,413,ENVIRONMENTAL CONSERVATION,0145,23911,ENVIRONMENTAL CONSERVATION,ENVIROMENTAL CONSERVATION -MFA,3186,3186,2017,3186,3371,3371,3371
2016 11 17,2017,State Grants,40,Other - State Grants,226,Commission on Human Rights,26,State Grants-Categorical,400,OTHER,0229,30906,LOCAL GOVERNMENT RECORDS MGMT,SARA GRANT - LGRMIF,0,24996,2017,24996,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,260,Department of Youth and Community Development,26,State Grants-Categorical,431,YOUTH,3112,29903,STATE AID FOR YOUTH SERVICES,STATE AID FOR YOUTH SERVICE,3930745,5240880,2017,5240880,3930745,3930745,3930745
2016 11 17,2017,State Grants,40,Other - State Grants,260,Department of Youth and Community Development,26,State Grants-Categorical,431,YOUTH,3112,29976,RUNAWAY & HOMELESS YOUTH,STATE AID FOR RUNAWAYS & HOMEL,772765,1296804,2017,1296804,772765,772765,772765
2016 11 17,2017,State Grants,40,Other - State Grants,260,Department of Youth and Community Development,26,State Grants-Categorical,431,YOUTH,3112,30855,TRANSITIONAL INDEPENDENT LIVIN,TRANSITIONAL INDEPDEDENT LVG,571614,1157059,2017,1157059,571614,571614,571614
2016 11 17,2017,State Grants,40,Other - State Grants,781,Department of Probation,26,State Grants-Categorical,423,PROBATION,0201,19942,STATE AID TO DEPT OF PROBATION,STATE AID TO DEPT OF PROBATION,14604832,14604832,2017,14604832,14604832,14604832,14604832
2016 11 17,2017,State Grants,40,Other - State Grants,781,Department of Probation,26,State Grants-Categorical,423,PROBATION,0461,19942,STATE AID TO DEPT OF PROBATION,TIER 3 SERVICES FOR HIGH RISK YOUNG ADULT PROBATIONERS,0,198180,2017,198180,198180,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,801,Department of Small Business Services,26,State Grants-Categorical,400,OTHER,0309,30906,LOCAL GOVERNMENT RECORDS MGMT,SARA GRANT - LGRMIF,0,74999,2017,74999,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,801,Department of Small Business Services,26,State Grants-Categorical,432,MISCELLANEOUS,0715,30959,WATERFRONT-TOURISM-ENVIRON. -EDUC,ONE STOP WATERFRONT PERMITTING,28000,28000,2017,28000,15000,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,806,Housing Preservation and Development,26,State Grants-Categorical,424,SOCIAL SERVICES,7914,26069,TEMP ASSIST FOR NEEDY FAMILIES,FAMILY SERVICES STATE TANF,475000,475000,2017,475000,475000,475000,475000
2016 11 17,2017,State Grants,40,Other - State Grants,806,Housing Preservation and Development,26,State Grants-Categorical,424,SOCIAL SERVICES,7915,26071,SAFETY-NET,FAMILY SERVICES SAFETY NET,600000,600000,2017,600000,600000,600000,600000
2016 11 17,2017,State Grants,40,Other - State Grants,826,Department of Environmental Protection,26,State Grants-Categorical,412,ENERGY OFFICE  ENERGY,8850,29801,NYS ENERGY CONSERVATION PROGRAM,MAYORAL CHALLENGE  - NYSERDA,0,151125,2017,151125,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,827,Department of Sanitation,26,State Grants-Categorical,412,ENERGY OFFICE  ENERGY,1004,29801,NYS ENERGY CONSERVATION PROGRAM,NEW YORK POWER AUTHORITY,25000,25000,2017,25000,25000,25000,25000
2016 11 17,2017,State Grants,40,Other - State Grants,836,Department of Finance,26,State Grants-Categorical,428,TAXATION AND FINANCE,3201,29303,STATE AID FOR ASSESSMENTS,STATE AID FOR ASSESSMENTS,437500,437500,2017,437500,437500,437500,437500
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,4152,21912,CONSOLIDATED HIWAY IMPROVEMENT,CONSOLIDATED HGHWY IMPROV.CAP,58123914,61179663,2017,61179663,57476457,57499374,57499374
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,3116,21949,TRANSPORTATION IMPROVEMENT,SI FERRY PREVENTIVE MAINTEN.,0,315000,2017,315000,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,3396,21949,TRANSPORTATION IMPROVEMENT,SI ASSET MAINTENANCE&PGM ADMI,124592,124592,2017,124592,124592,124592,124592
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,4062,21949,TRANSPORTATION IMPROVEMENT,BUS RAPID TRANSIT,0,185000,2017,185000,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,2160,21950,ARTERIAL HIGHWAY REIMBURSEMENT,ARTERIAL HGHWY REIMBURSEMENT,6748960,6748960,2017,6748960,6748960,6748960,6748960
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,2161,21951,ARTERIAL MAINTENANCE,ARTERIAL MAINTENANCE,8574892,8574892,2017,8574892,8574892,8574892,8574892
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,1220,29911,State Operating Assistance Ferry,MASS TRANSIT OPER.ASST GRANT,5529000,5529000,2017,11765645,7413800,7413800,7413800
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,1220,29912,DEDICATED TAX,STATE GROSS RECEIPTS TAX,25421500,25421500,2017,25421500,25421500,25421500,25421500
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,1560,29912,DEDICATED TAX,GROSS RCEIPTS TAX,48338935,48338935,2017,48338935,48338935,48338935,48338935
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,429,TRANSPORTATION,1560,29919,State Operating Assistance Bus,PRIVATE BUS SUBSIDY,14241000,14241000,2017,179781506,39408165,39408165,39408165
2016 11 17,2017,State Grants,40,Other - State Grants,841,Department of Transportation,26,State Grants-Categorical,421,MOTOR VEHICLES,1125,30400,STOP DRIVING WHILE INTOXICATED,STOP D. W.I. PROGRAM,2226337,2226337,2017,2226337,2226337,2226337,2226337
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,413,ENVIRONMENTAL CONSERVATION,5127,23911,ENVIRONMENTAL CONSERVATION,MARINER'S ARLINGTON MARSH MASTER PLAN,0,200000,2017,200000,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,413,ENVIRONMENTAL CONSERVATION,5717,23911,ENVIRONMENTAL CONSERVATION,PUGSLEY CREEK SALT MARSH & BUFFER RESTORATION,0,108333,2017,108333,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,413,ENVIRONMENTAL CONSERVATION,5720,23911,ENVIRONMENTAL CONSERVATION,GREENBELT TRAIL SUSTAINABILITY INIT,0,46163,2017,46163,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,413,ENVIRONMENTAL CONSERVATION,5887,23911,ENVIRONMENTAL CONSERVATION,ST.MARY'S GREEN ROOF PROJECT,0,416895,2017,416895,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,413,ENVIRONMENTAL CONSERVATION,5815,30264,N Y S LOCAL WATERFRONT REVITAL,LWRP-PLANNING & DESIGN PIER 26 URBAN ESTUARY,0,335000,2017,335000,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,413,ENVIRONMENTAL CONSERVATION,5816,30264,N Y S LOCAL WATERFRONT REVITAL,LWRP-JAMAICA BAY HABITAT RESTORATION,0,263387,2017,263387,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,422,PARKS AND RECREATION,5931,30475,BRONX RIVER,BRONX RIVER URBAN FOREST REVITALIZATION AND JOB SKILLS TRAINING,0,238998,2017,238998,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,422,PARKS AND RECREATION,5122,30477,PARKS RECREATION AND CONSERVATION,CATALYST FOR NEIGHBORHOOD PARK,0,346979,2017,346979,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,846,Department of Parks and Recreation,26,State Grants-Categorical,400,OTHER,5150,30906,LOCAL GOVERNMENT RECORDS MGMT,SARA GRANT - LGRMIF,0,47373,2017,47373,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3000,31601,COURT OPERATION + MAINTENANCE,COURT ENHANCEMENT - P S,40932566,41404016,2017,41404016,41262332,41262332,41262332
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3201,31601,COURT OPERATION + MAINTENANCE,COURT O & M RETRO,616036,616036,2017,616036,616036,616036,616036
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3319,31601,COURT OPERATION + MAINTENANCE,STATE FUNDED COURT CLEAN -OTPS,0,993424,2017,993424,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3406,31601,COURT OPERATION + MAINTENANCE,MAINTENANCE WORKERS,2235694,2235694,2017,2235694,2256354,2256354,2256354
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3410,31602,COURT INTEREST REIMBURSEMENT,APPELLATE COURT INTEREST AID,2000000,2000000,2017,2000000,2000000,2000000,2000000
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3411,31602,COURT INTEREST REIMBURSEMENT,NONAPPELLATE COURT INTERST AID,2642000,2642000,2017,2642000,6292000,6292000,6292000
2017 11 21,2018,City Funds,13,All Other,002,Mayoralty,20,TAXES,005,OTHER TAXES,0421,00115,TAX ON HORSE RACE ADMISSIONS,TAX ON HORSE RACE ADMISSIONS,50000,50000,2018,50000,50000,50000,50000
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3412,31602,COURT INTEREST REIMBURSEMENT,DASNY COURT INTEREST AID,1433000,1433000,2017,1433000,1433000,1433000,1433000
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3215,31603,STATE APPELLATE COURTS,STATE APPELLATE COURT,1982844,1982844,2017,1982844,1997436,1997436,1997436
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3219,31603,STATE APPELLATE COURTS,STATE APPELLATE COURTS,8939073,8939073,2017,8939073,8939073,8939073,8939073
2016 11 17,2017,State Grants,40,Other - State Grants,856,Department of Citywide Administrative Services,26,State Grants-Categorical,433,JUDICIARY,3409,31604,TENANT WORK,TENANT WORK,0,1435557,2017,1435557,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,858,Department of Information Technology and Telecommunications,26,State Grants-Categorical,400,OTHER,5307,30906,LOCAL GOVERNMENT RECORDS MGMT,SARA GRANT - LGRMIF,0,100000,2017,100000,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,860,Department of Records and Information Services,26,State Grants-Categorical,400,OTHER,1200,30906,LOCAL GOVERNMENT RECORDS MGMT,SARA GRANT - LGRMIF,25304,225304,2017,225304,27147,27147,27147
2016 11 17,2017,State Grants,40,Other - State Grants,860,Department of Records and Information Services,26,State Grants-Categorical,400,OTHER,1206,30906,LOCAL GOVERNMENT RECORDS MGMT,SARA GRANT- LGRMIF ARCHIVES AA,2583,76134,2017,76134,2583,2583,2583
2016 11 17,2017,State Grants,40,Other - State Grants,866,Department of Consumer Affairs,26,State Grants-Categorical,414,HEALTH,3100,23981,YOUTH TOBACCO ENFORCEMENT,YOUTH TOBACCO ENFORCEMENT,1845422,2002183,2017,2002183,1849763,1849763,1849763
2016 11 17,2017,State Grants,40,Other - State Grants,866,Department of Consumer Affairs,26,State Grants-Categorical,402,AGRICULTURE AND MARKETS,2603,30008,GASOLINE INSPECTIONS,GASOLINE INSPECTIONS,109810,109810,2017,109810,109810,109810,109810
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0101,19929,FORFEITURE LAW ENFORCEMENT,STATE ASSET FORFEITURE,0,6279602,2017,6279602,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,6005,19930,CRIMES AGAINST REVENUES,CRIMES AGAINST REVENUE PGM,0,3211363,2017,3211363,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,408,CRIME VICTIMS COMPENSATION,3401,19991,CRIME VICTIMS COMPENSATION BD.,CRIM VICTIMS COMPENSATION BOAR,0,22951,2017,22951,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,3201,29856,AID TO PROSECUTION,AID TO PROSECUTION,3332511,3297517,2017,3297517,3332511,3332511,3332511
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,3206,29856,AID TO PROSECUTION,IDENTITY THEFT PROSECUTION,0,20137,2017,20137,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,6600,29873,MOTOR VEHICLE THEFT INSU FRAUD,MOTOR VEHICLE THEFT II PROGRAM,0,200029,2017,200029,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,432,MISCELLANEOUS,0101,29918,PARTIAL REIMB. D.A.'S SALARY,PARTIAL REIMB. D.A.'S SALARY,10000,10000,2017,10000,10000,10000,10000
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,400,OTHER,5601,29970,STATE AID,NYPD FIREARMS INTELG.ANALYSIS,0,623421,2017,623421,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,901,District Attorney - New York County,26,State Grants-Categorical,421,MOTOR VEHICLES,0207,30400,STOP DRIVING WHILE INTOXICATED,STOP D. W.I. PROGRAM,0,218400,2017,218400,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,902,District Attorney - Bronx County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0404,19930,CRIMES AGAINST REVENUES,CRIMES AGAINST REVENUE PGM,0,369062,2017,369062,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,902,District Attorney - Bronx County,26,State Grants-Categorical,408,CRIME VICTIMS COMPENSATION,0316,19991,CRIME VICTIMS COMPENSATION BD.,CRIME VICTIMS COMPENSATION BD.,209735,317676,2017,317676,209735,209735,209735
2016 11 17,2017,State Grants,40,Other - State Grants,902,District Attorney - Bronx County,26,State Grants-Categorical,424,SOCIAL SERVICES,0442,26090,STATE PREVENTIVE SERVICES,LEGISLATIVE GRANT AWARD - CONCEPT PGM,0,2951,2017,2951,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,902,District Attorney - Bronx County,26,State Grants-Categorical,424,SOCIAL SERVICES,0443,26090,STATE PREVENTIVE SERVICES,RAPE CRISIS SERVICE,0,27148,2017,27148,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,902,District Attorney - Bronx County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0314,29856,AID TO PROSECUTION,AID TO PROSECUTION,2026300,2026300,2017,2026300,2026300,2026300,2026300
2016 11 17,2017,State Grants,40,Other - State Grants,902,District Attorney - Bronx County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0326,29873,MOTOR VEHICLE THEFT INSU FRAUD,INVSTGN & PRSCTN NGTTIME THEFT,0,163171,2017,163171,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,902,District Attorney - Bronx County,26,State Grants-Categorical,432,MISCELLANEOUS,0101,29927,PARTIAL REIMB. D.A.'S SALARY,PARTIAL REIMB. D.A.'S SALARY,7974,7974,2017,7974,7974,7974,7974
2016 11 17,2017,State Grants,40,Other - State Grants,902,District Attorney - Bronx County,26,State Grants-Categorical,421,MOTOR VEHICLES,0322,30400,STOP DRIVING WHILE INTOXICATED,STOP D. W.I. PROGRAM,0,290731,2017,290731,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0615,19930,CRIMES AGAINST REVENUES,CRIMES AGAINST REVENUE PGM,0,343148,2017,343148,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0355,19990,Victim Services,VICTIM ASSISTANCE PROGRAM - VSP,0,2373,2017,2373,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,408,CRIME VICTIMS COMPENSATION,0352,19991,CRIME VICTIMS COMPENSATION BD.,CRIME VICTIMS COMPENSATION BD.,52922,393580,2017,393580,52922,52922,52922
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,411,EDUCATION,0616,29359,EDUCATION GRANTS,CORE REHABILITATION SERVICES,0,3528,2017,3528,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0307,29856,AID TO PROSECUTION,STATE AID TO PROSECUTION,3048426,3048426,2017,3048426,3048426,3048426,3048426
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0503,29869,STATE LOCAL INITIATIVE,STATE AID REENTRY TASK FORCE,0,236185,2017,236185,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0512,29873,MOTOR VEHICLE THEFT INSU FRAUD,MOTOR VEHICLES THEFT,0,118474,2017,118474,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,432,MISCELLANEOUS,0101,29914,PARTIAL REIMB. D.A.'S SALARY,PARTIAL REIMB. D.A.'S SALARY,10000,10000,2017,10000,10000,10000,10000
2016 11 17,2017,State Grants,40,Other - State Grants,903,District Attorney -Kings County,26,State Grants-Categorical,421,MOTOR VEHICLES,0501,30400,STOP DRIVING WHILE INTOXICATED,STOP D. W.I. PROGRAM,0,279680,2017,279680,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,904,District Attorney - Queens County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0400,19930,CRIMES AGAINST REVENUES,CRIMES AGAINST REVENUE PGM,0,846040,2017,846040,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,904,District Attorney - Queens County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0308,29856,AID TO PROSECUTION,AID TO PROSECUTION,1307297,1307297,2017,1307297,1307297,1307297,1307297
2016 11 17,2017,State Grants,40,Other - State Grants,904,District Attorney - Queens County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0950,29873,MOTOR VEHICLE THEFT INSU FRAUD,MOTOR VEHICLE THEFT INSU FRAUD,0,286196,2017,286196,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,904,District Attorney - Queens County,26,State Grants-Categorical,432,MISCELLANEOUS,0101,29928,PARTIAL REIMB. D.A.'S SALARY,PARTIAL REIMB. D.A.'S SALARY,7974,7974,2017,7974,7974,7974,7974
2016 11 17,2017,State Grants,40,Other - State Grants,904,District Attorney - Queens County,26,State Grants-Categorical,421,MOTOR VEHICLES,0380,30400,STOP DRIVING WHILE INTOXICATED,STOP D. W.I. PROGRAM,0,266400,2017,266400,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,905,District Attorney -Richmond County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0206,29856,AID TO PROSECUTION,AID TO PROSECUTION,130700,130700,2017,130700,130700,130700,130700
2016 11 17,2017,State Grants,40,Other - State Grants,905,District Attorney -Richmond County,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0444,29856,AID TO PROSECUTION,SUMMONS DAY FOR NON-VIOLENT OFENSES,0,50000,2017,50000,0,0,0
2016 11 17,2017,State Grants,40,Other - State Grants,905,District Attorney -Richmond County,26,State Grants-Categorical,432,MISCELLANEOUS,0101,29916,PARTIAL REIMB. D.A.'S SALARY,PARTIAL REIMB. D.A.'S SALARY,7974,7974,2017,7974,7974,7974,7974
2016 11 17,2017,State Grants,40,Other - State Grants,906,Office of Prosecution - Special Narcotics,26,State Grants-Categorical,409,CRIMINAL JUSTICE,0101,29857,SPECIAL NARCOTICS PROSECUTION,SPECIAL NARCOTIC PROSECUTION,1127000,1127000,2017,1127000,1127000,1127000,1127000
2017 11 21,2018,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00001,REAL PROP TAX 1ST QUART,REAL PROP TAX 1ST QUART,11115520000,11115520000,2018,11200520000,11811211000,12392783000,12874653000
2017 11 21,2018,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00002,REAL PROP TAX 2ND QUART,REAL PROP TAX 2ND QUART,1916026000,1916026000,2018,1912026000,2043762000,2144337000,2227718000
2017 11 21,2018,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00003,REAL PROP TAX 3RD QUART,REAL ESTATE TAXES 3RD QUARTER,10903827000,10903827000,2018,10876827000,11585405000,12155866000,12628523000
2017 11 21,2018,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00004,REAL PROP TAX 4TH QUART,REAL PROP TAX 4TH QUART,1891640000,1891640000,2018,1837640000,2017750000,2117046000,2199365000
2017 11 21,2018,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00021,REAL ESTATE TAX REFUNDS,GEN PROPERTY TAXES REFUNDS,-400000000,-400000000,2018,-400000000,-400000000,-400000000,-400000000
2017 11 21,2018,City Funds,16,State Tax Relief Program - STAR,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00026,STATE AID SCHOOL TAX RELIEF,STATE AID SCHOOL TAX RELIEF,202000000,202000000,2018,202000000,200000000,198000000,196000000
2017 11 21,2018,City Funds,13,All Other,002,Mayoralty,20,TAXES,006,PENALTIES & INT ON DELINQ TAX,0421,00033,INTEREST ON TAX RECEIVABLE,PROPERTY TAX PRIOR YEAR,37000000,37000000,2018,37000000,37000000,37000000,37000000
2017 11 21,2018,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00034,REAL PROPERTY TAX LIEN SALES,REAL PROPERTY TAX LIEN SALES,80000000,80000000,2018,80000000,80000000,80000000,80000000
2017 11 21,2018,City Funds,1,Real Property,002,Mayoralty,20,TAXES,001,GENERAL PROPERTY TAXES,0421,00049,ACCRUED REAL ESTATE TAX REVENUE,REAL ESTATE TX REV-NON-CASH,305000000,305000000,2018,305000000,310000000,320000000,320000000
